title,url,book_name,books_url,author_name,book_price,star_rating,rating
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Philosopher's Stone,https://www.amazon.in//Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_1318158031_1/000-0000000-0000000?pd_rd_i=B019PIOJYU&psc=1,J.K. Rowling,₹124.95,4.7,"25,438"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",https://www.amazon.in//Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_1318158031_2/000-0000000-0000000?pd_rd_i=1409181634&psc=1,Alex Michaelides,₹259.00,4.5,"116,881"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Something I Never Told You,https://www.amazon.in//Something-I-Never-Told-You/dp/0143445901/ref=zg_bs_1318158031_3/000-0000000-0000000?pd_rd_i=0143445901&psc=1,Shravya Bhinder,₹175.00,4.3,"1,898"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Complete Novels of Sherlock Holmes,https://www.amazon.in//Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_1318158031_4/000-0000000-0000000?pd_rd_i=8175994312&psc=1,Arthur Conan Doyle,₹165.00,4.5,"13,953"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,A Thousand Kisses Deep,https://www.amazon.in//Thousand-Kisses-Deep-Novoneel-Chakraborty/dp/014345823X/ref=zg_bs_1318158031_5/000-0000000-0000000?pd_rd_i=014345823X&psc=1,Novoneel Chakraborty,₹139.00,,
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Chamber of Secrets,https://www.amazon.in//Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_1318158031_6/000-0000000-0000000?pd_rd_i=B019PIOJY0&psc=1,J.K. Rowling,₹124.95,4.7,"38,156"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,On Earth We're Briefly Gorgeous,https://www.amazon.in//Earth-Were-Briefly-Gorgeous/dp/1529110688/ref=zg_bs_1318158031_7/000-0000000-0000000?pd_rd_i=1529110688&psc=1,Ocean Vuong,₹331.00,4.4,"9,478"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,The Secret Garden,https://www.amazon.in//Secret-Garden-Frances-Hodgson-Burnett/dp/9386538997/ref=zg_bs_1318158031_8/000-0000000-0000000?pd_rd_i=9386538997&psc=1,Frances Hodgson Burnett,₹139.00,4.4,"11,000"
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,"இந்திரனும், சந்திரனும் என்னவனே! (Tamil Edition)",https://www.amazon.in//%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%A9%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%9A%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%A9%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%B5%E0%AE%A9%E0%AF%87-%E0%AE%87%E0%AE%B3%E0%AE%B5%E0%AE%B0%E0%AE%9A%E0%AE%BF-%E0%AE%B5%E0%AE%BF%E0%AE%B7%E0%AF%8D%E0%AE%A3%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%BE-ebook/dp/B0B5F8ML91/ref=zg_bs_1318158031_9/000-0000000-0000000?pd_rd_i=B0B5F8ML91&psc=1,[காதல் இளவரசி]  விஷ்ணுப்ரியா,₹375.00,4.0,32
Action & Adventure,https://www.amazon.in//gp/bestsellers/books/1318158031,Harry Potter and the Goblet of Fire,https://www.amazon.in//Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B019PIOJWW/ref=zg_bs_1318158031_10/000-0000000-0000000?pd_rd_i=B019PIOJWW&psc=1,J.K. Rowling,₹313.95,4.7,"28,480"
